Time stamp,FULL NAME,D.O.B,Street Address,Phone#,Zip,Home Owner,Vehicles,Current Ins,Leads Note,Agent Name,Make and Model
01/07/2026,ALLEN B TESTMAN,06/22/1988,"2600 Fake Castle Rd APT A3, Cumming GA",4045550101,30040,Owner,2,State farm,called twice,Leo,2020 Chevy Tru / 2015 GMC Canonck
01/07/2026,ashwarya testkeshid,10/01/1992,"900 Sample Pass #10306, Alpharetta GA",(770) 555-0102,30022,rented,1,GIECO,hot lead,Leo,2021 Nissan Kicks

02/07/2026,IRIS SPIVEY TESTER,02/29/1972,"176 Mockingbird Rd, Jenkinsburg GA",770-555-0103,30234,OWNER,2,Allstate,,Ethan,2008 Dodge Ram / 2022 Chevy Equinox
02/07/2026,Shideh Sampleparsa,4/9/1963,"5202 Old Fake Mountain Ct, Powder Springs GA",7705550104,30127,owner,1,prograssive,follow up,Husnain,2003 Ford F150
02/07/2026,ULYSSES TESTJONES,07/27/1948,"312 Chantilly Test Ter, Atlanta GA",1-404-555-0105,30349,Owner,2,STATE FARM,,Leo,2012 Dodge Journey / 2017 Nissan Altima
03/07/2026,raymond d testjackson,1957-01-11,"1535 Teal Pl Test, Jonesboro GA",6785550106,30236,own,2,state farm,warm,Leo,2000 Jeep Grand Cherokee / 1989 Mazda V2200
03/07/2026,LARRY TESTHENDERSON,11/30/1967,"95 Amberjack Trl Test, Covington GA",678.555.0107,30016,Owner,2,Progresive,,Ethan,2006 Chevy Avalanche / 2013 Audi A6

03/07/2026,charles testmccraw,4/6/1950,"3703 Petherton Way NW Test, Peachtree Corners GA",(678)555-0108,30092,rented,2,Liberty,cold,Leo,2006 Lexus SC430 / 2008 Lexus SC430
04/07/2026,Caelon Testdonald,10/19/1998,"104 Westchester Ln Test, Athens GA",7065550109,30606,RENTED,1,gieco,,Leo,1988 Chevy Malibu
04/07/2026,TROY TESTBENTLEY,8/27/1968,"1468 Lee Pl Rd NE Test, Ludowici GA",9125550110,31316,Owner,2,usaa,call back,Sam,2017 Ford Explorer / 2017 Ford F150
04/07/2026,lowell testhughes,01/29/1966,"2992 Beechwood Dr Test, Lithia Springs GA",47855501,30122,Owner,1,Progressive,,Sam,2020 Kia Soul / 2016 GMC Sierra
05/07/2026,MICHAEL P TESTWRIGHT,01/02/1971,"2050 Windfaire Cir Test, Roswell GA",7705550112,30076,Owner,3,PROGRESSIVE,,Sam,2018 Landrover Discovery / 2025 BMW X6
05/07/2026,Ndubuisi Testuocha,3/28/1959,"1083 Iron Gate Blvd Test, Jonesboro GA",4045550113,30238,Owner,1,united,,Sam,2016 Dodge Grand Caravan
05/07/2026,NICOLAS TESTGENTILHO,2/20/1967,"134 Oakchase Park Ln Test, Hampton GA",404-555-0114,30228,Owner,1,Geico,,Sam,2019 Nissan Pathfinder
06/07/2026,ed testwasson,6/13/1960,"205 College St Test, Fort Valley GA",4785550115,31030,Owner,1,progressive,,Husnain,2022 Ram 3500
06/07/2026,ED TESTWASSON,6/13/1960,"205 College St Test, Fort Valley GA",(478) 555-0115,31030,owner,1,Progressive,dup row,Husnain,2022 Ram 3500
06/07/2026,mary testleadzero,05/15/1985,"18 Beacon St Test, Boston MA",6175550116,02116,rented,1,Aetna,,Leo,2014 Honda Civic
